"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"286149028327084034","","","284805810146643970","42933426","2013-01-01 16:36:59 +0000","web","RT @BocaJrsOficial: Además Schiavi, Guille Burdisso, Clemente Rodríguez, Riquelme y Santiago Silva fueron elegidos entre los 5 más desta ..."
"285943646434516994","","","","","2013-01-01 03:00:52 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","FELIZ AÑO NUEVO! January 01, 2013 at 12:00AM"
"283406975654588419","","","","","2012-12-25 03:01:03 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Feliz Navidad! Merry Christmas! Joyeux Noël!"
"280869775679295490","","","","","2012-12-18 02:59:07 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","#BienvenidoVirrey de nuevo a #Boca"
"278942416877268992","","","","","2012-12-12 19:20:29 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Grande #Boca #12D , si el balance del año no es positivo que dejamos para el resto"
"278942031567548416","","","","","2012-12-12 19:18:57 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","#BocaLaHinchadaMasGrandeDelMundo feliz dia a todos los xeneizes! #BocaFiestaMundial"
"276104107918499843","","","","","2012-12-04 23:22:03 +0000","web","""...cuando asumió Don Julio como presidente de la AFA, el único voto en contra que tuvo fue el de Armando...."" de http://t.co/BolFjd9K","http://imborrableboca.blogspot.com.ar/"
"276102422244519936","","","","","2012-12-04 23:15:21 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","La crisis de 1984 que puso a #Boca Juniors al borde... http://t.co/7FlD2gIR","http://imborrableboca.blogspot.com/2010/12/la-crisis-de-1984-que-puso-boca-juniors.html?spref=tw"
"276101727432884226","","","","","2012-12-04 23:12:36 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","La Passucci: #Boca es el equipo con más hinchas en la Argentina ... http://t.co/SzbFxcFm","http://lapassucci.blogspot.com/2012/12/boca-es-el-equipo-con-mas-hinchas-en.html?spref=tw"
"275708558547492864","","","","","2012-12-03 21:10:17 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","#Boca, el tercer mejor equipo del mundo  http://t.co/dd2jkksO vía @Playfutbolcom","http://playfutbol.infobae.com/notas/684642-Boca-el-tercer-mejor-equipo-del-mundo.html"
